,Number,Position,Age,Height,Weight,Salary,Bonus,NewSalary
34,3.0,PG,34.0,6-3,200.0,7402812.0,15000,7417812.0
35,11.0,SF,25.0,6-8,210.0,845059.0,15000,860059.0
36,2.0,SG,24.0,6-2,200.0,845059.0,15000,860059.0
37,13.0,PG,23.0,6-4,195.0,1572360.0,15000,1587360.0
38,8.0,C,28.0,7-0,255.0,12650000.0,15000,12665000.0
39,9.0,PF,26.0,6-10,250.0,3750000.0,15000,3765000.0
40,6.0,PF,20.0,7-3,240.0,4131720.0,15000,4146720.0
41,1.0,C,26.0,6-10,278.0,2814000.0,15000,2829000.0
42,42.0,SF,28.0,6-8,235.0,1636842.0,15000,1651842.0
43,18.0,SG,32.0,6-7,195.0,947276.0,15000,962276.0
44,23.0,PF,25.0,6-8,240.0,4000000.0,15000,4015000.0
45,5.0,SG,23.0,6-6,205.0,167406.0,15000,182406.0
46,42.0,PF,37.0,6-9,254.0,4842684.105381166,15000,4857684.105381166
47,0.0,PG,25.0,6-0,201.0,947276.0,15000,962276.0
48,33.0,SF,25.0,6-9,215.0,1000000.0,15000,1015000.0
49,21.0,C,22.0,7-0,250.0,4626960.0,15000,4641960.0
50,39.0,SF,22.0,6-8,210.0,845059.0,15000,860059.0
51,22.0,PF,22.0,6-10,245.0,1074169.0,15000,1089169.0
52,7.0,PF,32.0,6-9,248.0,6500000.0,15000,6515000.0
53,5.0,PG,24.0,6-4,200.0,2144772.0,15000,2159772.0
54,12.0,PG,24.0,6-2,200.0,525093.0,15000,540093.0
55,4.0,PF,22.0,6-11,228.0,3457800.0,15000,3472800.0
56,8.0,C,20.0,6-11,275.0,4582680.0,15000,4597680.0
57,1.0,PG,27.0,6-0,175.0,947276.0,15000,962276.0
58,11.0,SG,22.0,6-6,205.0,2869440.0,15000,2884440.0
59,31.0,SG,25.0,6-8,206.0,947276.0,15000,962276.0
60,35.0,PF,20.0,6-11,220.0,525093.0,15000,540093.0
61,8.0,C,23.0,6-9,245.0,2814000.0,15000,2829000.0
62,20.0,SF,20.0,6-9,205.0,1524000.0,15000,1539000.0
63,5.0,SF,29.0,6-8,212.0,13600000.0,15000,13615000.0
64,10.0,SG,26.0,6-7,220.0,10050000.0,15000,10065000.0
65,3.0,PF,29.0,6-9,250.0,2500000.0,15000,2515000.0
66,6.0,PG,24.0,6-3,190.0,7000000.0,15000,7015000.0
67,7.0,PG,30.0,6-0,205.0,12000000.0,15000,12015000.0
68,92.0,C,23.0,7-0,220.0,1842000.0,15000,1857000.0
69,54.0,PF,27.0,6-9,235.0,6268675.0,15000,6283675.0
70,24.0,SG,23.0,6-4,215.0,650000.0,15000,665000.0
71,31.0,SF,25.0,6-7,195.0,3553917.0,15000,3568917.0
72,4.0,PF,36.0,6-9,240.0,2900000.0,15000,2915000.0
73,1.0,PF,29.0,6-11,250.0,245177.0,15000,260177.0
74,17.0,C,24.0,7-0,255.0,4660482.0,15000,4675482.0
75,55.0,PG,24.0,6-5,190.0,1509360.0,15000,1524360.0
76,19.0,SG,33.0,6-3,194.0,2500000.0,15000,2515000.0
77,40.0,SF,24.0,6-8,225.0,3873398.0,15000,3888398.0
78,12.0,C,31.0,7-0,260.0,13800000.0,15000,13815000.0
79,21.0,SG,25.0,6-3,175.0,947276.0,15000,962276.0
80,30.0,PG,28.0,6-3,190.0,11370786.0,15000,11385786.0
81,31.0,C,26.0,6-11,265.0,2008748.0,15000,2023748.0
82,23.0,PF,26.0,6-7,230.0,14260870.0,15000,14275870.0
83,9.0,SF,32.0,6-6,215.0,11710456.0,15000,11725456.0
84,34.0,PG,30.0,6-7,192.0,5543725.0,15000,5558725.0
85,36.0,SF,20.0,6-9,220.0,1131960.0,15000,1146960.0
86,20.0,SF,23.0,6-9,240.0,845059.0,15000,860059.0
87,4.0,SF,30.0,6-6,220.0,1270964.0,15000,1285964.0
88,5.0,C,28.0,6-10,255.0,3815000.0,15000,3830000.0
89,11.0,SG,26.0,6-7,215.0,15501000.0,15000,15516000.0
90,18.0,PF,33.0,6-11,273.0,289755.0,15000,304755.0
91,45.0,C,27.0,6-11,250.0,1100602.0,15000,1115602.0
92,19.0,PF,29.0,6-9,250.0,111444.0,15000,126444.0
93,11.0,SG,36.0,6-5,195.0,5675000.0,15000,5690000.0
94,22.0,SF,23.0,6-6,225.0,525093.0,15000,540093.0
95,8.0,SF,29.0,6-9,235.0,9650000.0,15000,9665000.0
96,32.0,PF,27.0,6-10,251.0,18907726.0,15000,18922726.0
97,33.0,SF,28.0,6-7,215.0,1100602.0,15000,1115602.0
98,6.0,C,27.0,6-11,265.0,19689000.0,15000,19704000.0
99,12.0,PF,29.0,6-8,230.0,947276.0,15000,962276.0
100,3.0,PG,31.0,6-0,175.0,21468695.0,15000,21483695.0
101,34.0,SF,38.0,6-7,235.0,3376000.0,15000,3391000.0
102,9.0,PG,39.0,6-3,185.0,947726.0,15000,962726.0
103,4.0,SG,31.0,6-4,190.0,7085000.0,15000,7100000.0
104,25.0,PG,23.0,6-4,200.0,3110796.0,15000,3125796.0
105,30.0,SG,25.0,6-5,195.0,1159680.0,15000,1174680.0
106,2.0,PF,31.0,6-8,250.0,3000000.0,15000,3015000.0
107,28.0,C,24.0,6-9,250.0,845059.0,15000,860059.0
108,3.0,SF,23.0,6-7,210.0,700000.0,15000,715000.0
109,24.0,SF,37.0,6-6,212.0,25000000.0,15000,25015000.0
110,6.0,PG,24.0,6-5,194.0,845059.0,15000,860059.0
111,17.0,C,29.0,7-2,270.0,15592217.0,15000,15607217.0
112,9.0,PG,33.0,6-3,200.0,525093.0,15000,540093.0
113,4.0,PF,25.0,6-11,230.0,1724250.0,15000,1739250.0
114,7.0,PF,23.0,6-9,230.0,1155600.0,15000,1170600.0
115,30.0,PF,21.0,6-9,250.0,3132240.0,15000,3147240.0
116,1.0,PG,20.0,6-5,195.0,5103120.0,15000,5118120.0
117,50.0,C,27.0,7-0,270.0,981348.0,15000,996348.0
118,23.0,SG,29.0,6-1,175.0,7000000.0,15000,7015000.0
119,37.0,SF,36.0,6-7,260.0,947276.0,15000,962276.0
120,0.0,SF,31.0,6-7,210.0,5219169.0,15000,5234169.0
121,2.0,PG,26.0,6-1,190.0,13500000.0,15000,13515000.0
122,1.0,SG,19.0,6-6,206.0,2127840.0,15000,2142840.0
123,10.0,SF,28.0,6-7,209.0,206192.0,15000,221192.0
124,4.0,C,33.0,7-1,240.0,13000000.0,15000,13015000.0
125,20.0,SG,21.0,6-5,200.0,1160160.0,15000,1175160.0
126,23.0,SG,25.0,6-4,215.0,981348.0,15000,996348.0
127,3.0,PG,24.0,6-3,189.0,13500000.0,15000,13515000.0
128,21.0,C,22.0,7-1,260.0,3807120.0,15000,3822120.0
129,30.0,PF,27.0,6-10,228.0,1035000.0,15000,1050000.0
130,25.0,PG,25.0,5-11,175.0,55722.0,15000,70722.0
131,14.0,PG,32.0,6-2,190.0,947276.0,15000,962276.0
132,35.0,PF,30.0,6-9,242.0,5500000.0,15000,5515000.0
133,17.0,SF,31.0,6-6,245.0,5500000.0,15000,5515000.0
134,12.0,SF,22.0,6-8,230.0,2041080.0,15000,2056080.0
135,15.0,C,23.0,6-8,260.0,83397.0,15000,98397.0
136,13.0,SF,25.0,6-7,240.0,981348.0,15000,996348.0
137,5.0,SG,27.0,6-6,213.0,1015421.0,15000,1030421.0
138,3.0,SG,30.0,6-5,210.0,6060606.0,15000,6075606.0
139,31.0,SF,36.0,6-7,228.0,1449187.0,15000,1464187.0
140,18.0,SF,27.0,6-9,225.0,2836186.0,15000,2851186.0
141,0.0,C,22.0,7-0,240.0,3398280.0,15000,3413280.0
142,7.0,PG,28.0,6-0,175.0,5013559.0,15000,5028559.0
143,15.0,C,25.0,6-11,270.0,15851950.0,15000,15866950.0
144,30.0,SG,25.0,6-2,185.0,947276.0,15000,962276.0
145,26.0,PF,24.0,6-9,220.0,525093.0,15000,540093.0
146,8.0,SF,29.0,6-8,230.0,12403101.0,15000,12418101.0
147,41.0,C,27.0,7-0,265.0,7700000.0,15000,7715000.0
148,23.0,SG,23.0,6-5,195.0,3156600.0,15000,3171600.0
149,25.0,PF,24.0,6-10,238.0,845059.0,15000,860059.0
150,9.0,PG,30.0,6-1,186.0,9500000.0,15000,9515000.0
151,41.0,PF,25.0,6-9,250.0,845059.0,15000,860059.0
152,0.0,PG,31.0,6-0,161.0,2250000.0,15000,2265000.0
153,21.0,SG,26.0,6-7,220.0,16407500.0,15000,16422500.0
154,34.0,SG,35.0,6-9,230.0,4500000.0,15000,4515000.0
155,6.0,PF,23.0,6-10,275.0,525093.0,15000,540093.0
156,16.0,C,35.0,7-0,250.0,7448760.0,15000,7463760.0
157,22.0,PF,30.0,6-9,225.0,8500000.0,15000,8515000.0
158,7.0,SG,27.0,6-6,185.0,947276.0,15000,962276.0
159,3.0,SF,24.0,6-8,225.0,2380440.0,15000,2395440.0
160,44.0,PF,25.0,6-10,220.0,5543725.0,15000,5558725.0
161,55.0,SG,27.0,6-4,191.0,1015421.0,15000,1030421.0
162,13.0,C,31.0,6-11,232.0,13400000.0,15000,13415000.0
163,5.0,PF,21.0,6-11,230.0,1391160.0,15000,1406160.0
164,1.0,PG,27.0,6-3,190.0,20093064.0,15000,20108064.0
165,20.0,SF,24.0,6-7,200.0,1535880.0,15000,1550880.0
166,8.0,PG,25.0,6-4,198.0,1147276.0,15000,1162276.0
167,9.0,PF,33.0,6-11,255.0,8193029.0,15000,8208029.0
168,2.0,PG,24.0,6-3,193.0,16407501.0,15000,16422501.0
169,23.0,SF,31.0,6-8,250.0,22970500.0,15000,22985500.0
170,24.0,SF,35.0,6-7,233.0,947276.0,15000,962276.0
171,30.0,SG,35.0,6-6,225.0,4842684.105381166,15000,4857684.105381166
172,1.0,SG,35.0,6-8,218.0,947276.0,15000,962276.0
173,14.0,C,31.0,6-11,260.0,1276000.0,15000,1291000.0
174,0.0,PF,27.0,6-10,251.0,19689000.0,15000,19704000.0
175,12.0,SG,25.0,6-5,179.0,111196.0,15000,126196.0
176,20.0,C,29.0,7-1,275.0,4950000.0,15000,4965000.0
177,4.0,SG,25.0,6-5,220.0,8988765.0,15000,9003765.0
178,5.0,SG,30.0,6-6,225.0,5000000.0,15000,5015000.0
179,13.0,C,25.0,6-9,238.0,14260870.0,15000,14275870.0
180,52.0,PG,33.0,6-1,198.0,2100000.0,15000,2115000.0
181,50.0,C,33.0,6-9,245.0,2500000.0,15000,2515000.0
182,12.0,C,29.0,6-10,260.0,6500000.0,15000,6515000.0
183,22.0,PG,36.0,6-3,172.0,2170465.0,15000,2185465.0
184,17.0,PG,25.0,6-5,189.0,111444.0,15000,126444.0
185,25.0,SF,25.0,6-7,205.0,1252440.0,15000,1267440.0
186,5.0,SG,23.0,6-5,205.0,2891760.0,15000,2906760.0
187,8.0,PG,23.0,6-6,200.0,845059.0,15000,860059.0
188,0.0,C,22.0,6-11,279.0,3272091.0,15000,3287091.0
189,34.0,SF,23.0,6-9,235.0,16000000.0,15000,16015000.0
190,6.0,SF,23.0,6-6,205.0,600000.0,15000,615000.0
191,1.0,PG,26.0,6-3,208.0,13913044.0,15000,13928044.0
192,3.0,SF,20.0,6-7,245.0,2841960.0,15000,2856960.0
193,20.0,SG,28.0,6-4,210.0,6270000.0,15000,6285000.0
194,13.0,PF,26.0,6-9,235.0,5000000.0,15000,5015000.0
195,43.0,PF,31.0,6-8,240.0,3000000.0,15000,3015000.0
196,5.0,PF,27.0,6-9,255.0,4050000.0,15000,4065000.0
197,25.0,PF,24.0,6-9,250.0,1007026.0,15000,1022026.0
198,11.0,SG,30.0,6-3,185.0,10300000.0,15000,10315000.0
199,13.0,SF,26.0,6-9,220.0,17120106.0,15000,17135106.0
200,3.0,PG,30.0,6-3,188.0,8000000.0,15000,8015000.0
201,27.0,C,28.0,6-10,235.0,4000000.0,15000,4015000.0
202,44.0,SF,25.0,6-7,225.0,1358880.0,15000,1373880.0
203,10.0,PG,28.0,5-11,195.0,211744.0,15000,226744.0
204,28.0,C,29.0,6-11,250.0,4000000.0,15000,4015000.0
205,0.0,SF,29.0,6-6,231.0,4394225.0,15000,4409225.0
206,40.0,SG,22.0,6-7,222.0,1100000.0,15000,1115000.0
207,2.0,PG,30.0,6-5,205.0,7000000.0,15000,7015000.0
208,33.0,PF,20.0,6-11,243.0,2357760.0,15000,2372760.0
209,42.0,PF,25.0,6-11,250.0,845059.0,15000,860059.0
210,1.0,PG,23.0,6-2,180.0,1007026.0,15000,1022026.0
211,34.0,SF,21.0,6-11,222.0,1953960.0,15000,1968960.0
212,19.0,PG,27.0,6-3,200.0,3000000.0,15000,3015000.0
213,5.0,PG,24.0,6-6,190.0,2399040.0,15000,2414040.0
214,9.0,SG,25.0,6-4,195.0,947276.0,15000,962276.0
215,11.0,PG,21.0,6-3,194.0,1662360.0,15000,1677360.0
216,31.0,PF,25.0,6-11,229.0,2943221.0,15000,2958221.0
217,17.0,SF,21.0,6-8,246.0,855000.0,15000,870000.0
218,3.0,SG,28.0,6-5,210.0,8000000.0,15000,8015000.0
219,22.0,SG,24.0,6-8,234.0,14700000.0,15000,14715000.0
220,15.0,C,26.0,6-11,265.0,16407500.0,15000,16422500.0
221,6.0,SF,32.0,6-10,225.0,295327.0,15000,310327.0
222,77.0,PF,23.0,6-9,257.0,845059.0,15000,860059.0
223,12.0,PF,21.0,6-8,250.0,5152440.0,15000,5167440.0
224,18.0,C,27.0,6-11,249.0,2109294.0,15000,2124294.0
225,21.0,PG,29.0,6-6,217.0,6600000.0,15000,6615000.0
226,20.0,SG,19.0,6-6,202.0,1733040.0,15000,1748040.0
227,1.0,SG,22.0,6-6,228.0,1449000.0,15000,1464000.0
228,5.0,PG,31.0,6-0,185.0,4290000.0,15000,4305000.0
229,21.0,SF,28.0,6-9,200.0,1100602.0,15000,1115602.0
230,2.0,PG,31.0,6-1,205.0,3950313.0,15000,3965313.0
231,34.0,PG,33.0,6-3,185.0,4053446.0,15000,4068446.0
232,42.0,PF,33.0,6-9,245.0,2085671.0,15000,2100671.0
233,23.0,SG,29.0,6-5,220.0,16407500.0,15000,16422500.0
234,11.0,C,28.0,7-0,270.0,1270964.0,15000,1285964.0
235,50.0,C,29.0,7-2,245.0,525093.0,15000,540093.0
236,41.0,PF,37.0,7-0,245.0,8333334.0,15000,8348334.0
237,27.0,C,32.0,6-11,275.0,5200000.0,15000,5215000.0
238,25.0,SF,27.0,6-10,230.0,15361500.0,15000,15376500.0
239,7.0,PF,24.0,6-11,240.0,845059.0,15000,860059.0
240,3.0,PF,31.0,6-11,232.0,947276.0,15000,962276.0
241,8.0,PG,31.0,6-3,200.0,5378974.0,15000,5393974.0
242,1.0,SF,30.0,6-8,215.0,8193030.0,15000,8208030.0
243,8.0,SF,27.0,6-10,235.0,306527.0,15000,321527.0
244,2.0,PG,27.0,6-1,185.0,6486486.0,15000,6501486.0
245,33.0,SG,30.0,6-9,186.0,8229375.0,15000,8244375.0
246,15.0,PF,22.0,6-10,240.0,1242720.0,15000,1257720.0
247,7.0,SF,22.0,6-9,230.0,1646400.0,15000,1661400.0
248,0.0,PG,27.0,6-3,200.0,200600.0,15000,215600.0
249,13.0,SG,26.0,6-5,220.0,15756438.0,15000,15771438.0
250,35.0,PF,22.0,6-8,240.0,1000000.0,15000,1015000.0
251,12.0,C,30.0,6-11,265.0,22359364.0,15000,22374364.0
252,6.0,PF,24.0,6-9,252.0,2489530.0,15000,2504530.0
253,32.0,SG,23.0,6-6,205.0,3189794.0,15000,3204794.0
254,20.0,PF,25.0,7-0,222.0,2288205.0,15000,2303205.0
255,5.0,C,30.0,6-9,225.0,947276.0,15000,962276.0
256,31.0,SG,38.0,6-2,185.0,947276.0,15000,962276.0
257,3.0,SG,21.0,6-5,209.0,1404600.0,15000,1419600.0
258,9.0,SG,34.0,6-4,213.0,5158539.0,15000,5173539.0
259,7.0,PF,37.0,6-10,245.0,5000000.0,15000,5015000.0
260,22.0,SF,36.0,6-7,226.0,3542500.0,15000,3557500.0
261,15.0,SG,39.0,6-6,220.0,4088019.0,15000,4103019.0
262,11.0,PG,28.0,6-1,175.0,9588426.0,15000,9603426.0
263,8.0,PG,23.0,6-1,165.0,700902.0,15000,715902.0
264,4.0,PG,29.0,6-2,180.0,4842684.105381166,15000,4857684.105381166
265,33.0,C,31.0,7-1,255.0,19688000.0,15000,19703000.0
266,0.0,PF,25.0,6-9,227.0,845059.0,15000,860059.0
267,19.0,SF,23.0,6-6,230.0,1201440.0,15000,1216440.0
268,10.0,PF,22.0,6-10,239.0,1230840.0,15000,1245840.0
269,5.0,PG,24.0,6-3,190.0,4842684.105381166,15000,4857684.105381166
270,14.0,PG,24.0,6-3,180.0,4842684.105381166,15000,4857684.105381166
271,50.0,PF,34.0,6-9,260.0,9638555.0,15000,9653555.0
272,1.0,SF,25.0,6-5,230.0,9000000.0,15000,9015000.0
273,35.0,PF,28.0,6-10,270.0,4842684.105381166,15000,4857684.105381166
274,34.0,PF,28.0,6-10,210.0,5464000.0,15000,5479000.0
275,42.0,C,28.0,7-2,248.0,4389607.0,15000,4404607.0
276,33.0,PF,28.0,6-10,240.0,8500000.0,15000,8515000.0
277,3.0,C,29.0,7-0,255.0,9213483.0,15000,9228483.0
278,8.0,SF,26.0,6-9,225.0,1100602.0,15000,1115602.0
279,30.0,PG,27.0,6-2,175.0,3036927.0,15000,3051927.0
280,44.0,PF,29.0,6-8,230.0,2850000.0,15000,2865000.0
281,23.0,PF,23.0,6-10,253.0,7070730.0,15000,7085730.0
282,31.0,SG,23.0,6-6,203.0,169883.0,15000,184883.0
283,16.0,PG,30.0,6-2,195.0,1164858.0,15000,1179858.0
284,4.0,SF,25.0,6-7,210.0,845059.0,15000,860059.0
285,1.0,SG,26.0,6-6,220.0,10734586.0,15000,10749586.0
286,2.0,PG,25.0,6-1,170.0,845059.0,15000,860059.0
287,15.0,SF,29.0,6-6,225.0,1320000.0,15000,1335000.0
288,10.0,SG,27.0,6-4,215.0,15514031.0,15000,15529031.0
289,25.0,SG,25.0,6-7,220.0,1015421.0,15000,1030421.0
290,11.0,PG,25.0,6-4,205.0,10595507.0,15000,10610507.0
291,0.0,SG,27.0,6-5,220.0,55722.0,15000,70722.0
292,5.0,C,31.0,6-10,270.0,947276.0,15000,962276.0
293,20.0,SF,28.0,6-7,220.0,3382023.0,15000,3397023.0
294,12.0,PF,30.0,6-11,240.0,19689000.0,15000,19704000.0
295,1.0,SF,22.0,6-9,230.0,1142880.0,15000,1157880.0
296,15.0,C,36.0,6-10,235.0,947276.0,15000,962276.0
297,33.0,C,34.0,6-8,250.0,7500000.0,15000,7515000.0
298,21.0,C,40.0,6-11,250.0,5250000.0,15000,5265000.0
299,20.0,SG,38.0,6-6,205.0,2814000.0,15000,2829000.0
300,14.0,SG,28.0,6-6,215.0,10000000.0,15000,10015000.0
301,2.0,SF,24.0,6-7,230.0,16407500.0,15000,16422500.0
302,40.0,C,27.0,7-3,290.0,1200000.0,15000,1215000.0
303,23.0,SG,33.0,6-7,199.0,200600.0,15000,215600.0
304,24.0,PG,40.0,6-3,200.0,250750.0,15000,265750.0
305,8.0,PG,27.0,6-0,185.0,3578947.0,15000,3593947.0
306,9.0,PG,34.0,6-2,185.0,13437500.0,15000,13452500.0
307,17.0,SG,26.0,6-6,195.0,525093.0,15000,540093.0
308,30.0,PF,35.0,6-9,250.0,1499187.0,15000,1514187.0
309,24.0,SF,26.0,6-5,201.0,2000000.0,15000,2015000.0
310,10.0,SG,24.0,6-6,205.0,1304520.0,15000,1319520.0
311,12.0,SG,35.0,6-4,190.0,2854940.0,15000,2869940.0
312,15.0,C,30.0,6-10,245.0,12000000.0,15000,12015000.0
313,43.0,PF,31.0,6-9,235.0,1000000.0,15000,1015000.0
314,26.0,SG,35.0,6-7,212.0,5746479.0,15000,5761479.0
315,4.0,PF,31.0,6-8,246.0,18671659.0,15000,18686659.0
316,31.0,PF,24.0,6-11,240.0,947276.0,15000,962276.0
317,13.0,SG,24.0,6-5,225.0,525093.0,15000,540093.0
318,17.0,PG,22.0,6-1,172.0,1763400.0,15000,1778400.0
319,32.0,PF,27.0,6-8,237.0,3333333.0,15000,3348333.0
320,25.0,SF,32.0,6-7,220.0,4000000.0,15000,4015000.0
321,11.0,C,31.0,6-11,245.0,9756250.0,15000,9771250.0
322,22.0,C,24.0,7-3,260.0,1000000.0,15000,1015000.0
323,0.0,PG,27.0,6-2,186.0,8000000.0,15000,8015000.0
324,5.0,SG,27.0,6-8,200.0,13125306.0,15000,13140306.0
325,30.0,SG,24.0,6-4,205.0,947276.0,15000,962276.0
326,12.0,PG,27.0,6-3,189.0,189455.0,15000,204455.0
327,50.0,PF,30.0,6-9,250.0,947276.0,15000,962276.0
328,9.0,SG,21.0,6-6,210.0,525093.0,15000,540093.0
329,0.0,PF,28.0,7-1,245.0,6110034.0,15000,6125034.0
330,25.0,C,31.0,6-10,289.0,13500000.0,15000,13515000.0
331,44.0,C,23.0,7-0,240.0,2612520.0,15000,2627520.0
332,14.0,SF,22.0,6-7,232.0,6331404.0,15000,6346404.0
333,3.0,SG,24.0,6-5,185.0,3034356.0,15000,3049356.0
334,1.0,SG,30.0,6-5,200.0,5675000.0,15000,5690000.0
335,7.0,PG,27.0,6-3,200.0,2139000.0,15000,2154000.0
336,15.0,PG,26.0,6-1,184.0,12000000.0,15000,12015000.0
337,2.0,PF,29.0,6-9,237.0,7000000.0,15000,7015000.0
338,40.0,C,23.0,7-0,240.0,4204200.0,15000,4219200.0
339,1.0,PF,32.0,6-11,235.0,22192730.0,15000,22207730.0
340,9.0,SF,31.0,6-9,220.0,10151612.0,15000,10166612.0
341,7.0,PG,30.0,6-3,190.0,14783000.0,15000,14798000.0
342,14.0,SF,30.0,6-7,205.0,947276.0,15000,962276.0
343,40.0,PF,36.0,6-8,235.0,2854940.0,15000,2869940.0
344,2.0,SF,34.0,6-7,240.0,261894.0,15000,276894.0
345,8.0,SG,24.0,6-4,186.0,845059.0,15000,860059.0
346,4.0,PF,29.0,6-10,240.0,5543725.0,15000,5558725.0
347,0.0,SG,22.0,6-6,200.0,525093.0,15000,540093.0
348,5.0,PF,33.0,6-10,245.0,947276.0,15000,962276.0
349,3.0,SG,34.0,6-4,220.0,20000000.0,15000,20015000.0
350,12.0,PG,23.0,6-2,165.0,4842684.105381166,15000,4857684.105381166
351,21.0,C,26.0,7-0,265.0,981348.0,15000,996348.0
352,20.0,SF,20.0,6-7,225.0,2481720.0,15000,2496720.0
353,11.0,SF,30.0,6-9,205.0,4842684.105381166,15000,4857684.105381166
354,3.0,C,26.0,7-0,245.0,947276.0,15000,962276.0
355,10.0,SG,23.0,6-7,205.0,2288205.0,15000,2303205.0
356,0.0,PF,20.0,6-9,220.0,4171680.0,15000,4186680.0
357,23.0,SG,21.0,6-8,218.0,3741480.0,15000,3756480.0
358,7.0,PF,29.0,6-10,235.0,7900000.0,15000,7915000.0
359,55.0,PG,26.0,6-1,169.0,8344497.0,15000,8359497.0
360,11.0,SF,23.0,6-6,200.0,845059.0,15000,860059.0
361,13.0,PG,24.0,6-1,175.0,1294440.0,15000,1309440.0
362,44.0,PF,26.0,6-9,250.0,2380593.0,15000,2395593.0
363,5.0,SG,24.0,6-4,210.0,5192520.0,15000,5207520.0
364,4.0,PG,22.0,6-4,185.0,2505720.0,15000,2520720.0
365,14.0,PF,30.0,7-0,240.0,4300000.0,15000,4315000.0
366,9.0,C,25.0,7-0,260.0,11250000.0,15000,11265000.0
367,32.0,PG,32.0,6-2,175.0,5000000.0,15000,5015000.0
368,6.0,SG,33.0,6-6,220.0,4000000.0,15000,4015000.0
369,3.0,SG,22.0,6-5,207.0,5694674.0,15000,5709674.0
370,1.0,SF,30.0,6-7,225.0,4375000.0,15000,4390000.0
371,8.0,SG,24.0,6-7,218.0,561716.0,15000,576716.0
372,90.0,PF,34.0,6-10,250.0,3300000.0,15000,3315000.0
373,13.0,C,32.0,6-11,240.0,11217391.0,15000,11232391.0
374,21.0,C,27.0,6-9,242.0,273038.0,15000,288038.0
375,42.0,C,33.0,6-11,250.0,13000000.0,15000,13015000.0
376,5.0,PF,26.0,6-10,245.0,8000000.0,15000,8015000.0
377,12.0,SF,20.0,6-7,205.0,1920240.0,15000,1935240.0
378,22.0,SF,23.0,6-8,198.0,4662960.0,15000,4677960.0
379,7.0,PG,30.0,6-3,190.0,2170465.0,15000,2185465.0
380,17.0,SG,30.0,6-6,195.0,1100602.0,15000,1115602.0
381,15.0,SF,29.0,6-4,205.0,200600.0,15000,215600.0
382,2.0,PG,25.0,6-4,195.0,15851950.0,15000,15866950.0
383,0.0,PF,28.0,6-9,235.0,2814000.0,15000,2829000.0
384,12.0,PG,28.0,6-0,183.0,3000000.0,15000,3015000.0
385,5.0,SF,25.0,6-6,175.0,3533333.0,15000,3548333.0
386,21.0,SF,29.0,6-8,225.0,10449438.0,15000,10464438.0
387,35.0,PF,26.0,6-8,228.0,11235955.0,15000,11250955.0
388,8.0,SF,27.0,6-10,225.0,14000000.0,15000,14015000.0
389,14.0,SG,21.0,6-4,210.0,1584480.0,15000,1599480.0
390,15.0,C,21.0,6-10,250.0,1300000.0,15000,1315000.0
391,77.0,C,24.0,6-11,220.0,1709719.0,15000,1724719.0
392,3.0,SG,36.0,6-8,218.0,947276.0,15000,962276.0
